num_user,quarter_time
18397,2019-11-17 00:00:00
17563,2019-11-17 00:15:00
14695,2019-11-17 00:30:00
16119,2019-11-17 00:45:00
15257,2019-11-17 01:00:00
15763,2019-11-17 01:15:00
16024,2019-11-17 01:30:00
12350,2019-11-17 01:45:00
12825,2019-11-17 02:00:00
14053,2019-11-17 02:15:00
13852,2019-11-17 02:30:00
14612,2019-11-17 02:45:00
12782,2019-11-17 03:00:00
12220,2019-11-17 03:15:00
14555,2019-11-17 03:30:00
13697,2019-11-17 03:45:00
12041,2019-11-17 04:00:00
10895,2019-11-17 04:15:00
9556,2019-11-17 04:30:00
8205,2019-11-17 04:45:00
7099,2019-11-17 05:00:00
6040,2019-11-17 05:15:00
5243,2019-11-17 05:30:00
4398,2019-11-17 05:45:00
3800,2019-11-17 06:00:00
3220,2019-11-17 06:15:00
2844,2019-11-17 06:30:00
2480,2019-11-17 06:45:00
2228,2019-11-17 07:00:00
606,2019-11-17 07:15:00
891,2019-11-17 07:30:00
1308,2019-11-17 07:45:00
1296,2019-11-17 08:00:00
1228,2019-11-17 08:15:00
1170,2019-11-17 08:30:00
1142,2019-11-17 08:45:00
1195,2019-11-17 09:00:00
1302,2019-11-17 09:15:00
1409,2019-11-17 09:30:00
1559,2019-11-17 09:45:00
1867,2019-11-17 10:0:00
2218,2019-11-17 10:15:00
2759,2019-11-17 10:30:00
1853,2019-11-17 10:45:00
2816,2019-11-17 11:0:00
5012,2019-11-17 11:15:00
6316,2019-11-17 11:30:00
7390,2019-11-17 11:45:00
8662,2019-11-17 12:0:00
9896,2019-11-17 12:15:00
11422,2019-11-17 12:30:00
12621,2019-11-17 12:45:00
13958,2019-11-17 13:0:00
15367,2019-11-17 13:15:00
16570,2019-11-17 13:30:00
17640,2019-11-17 13:45:00
18104,2019-11-17 14:0:00
19420,2019-11-17 14:15:00
20132,2019-11-17 14:30:00
20670,2019-11-17 14:45:00
20012,2019-11-17 15:0:00
21134,2019-11-17 15:15:00
21221,2019-11-17 15:30:00
20840,2019-11-17 15:45:00
19900,2019-11-17 16:0:00
20254,2019-11-17 16:15:00
20425,2019-11-17 16:30:00
20337,2019-11-17 16:45:00
20294,2019-11-17 17:0:00
20156,2019-11-17 17:15:00
21005,2019-11-17 17:30:00
21067,2019-11-17 17:45:00
19534,2019-11-17 18:0:00
20585,2019-11-17 18:15:00
20535,2019-11-17 18:30:00
20664,2019-11-17 18:45:00
20085,2019-11-17 19:0:00
21254,2019-11-17 19:15:00
21762,2019-11-17 19:30:00
22092,2019-11-17 19:45:00
22158,2019-11-17 20:0:00
21880,2019-11-17 20:15:00
21950,2019-11-17 20:30:00
22156,2019-11-17 20:45:00
22328,2019-11-17 21:0:00
22738,2019-11-17 21:15:00
22783,2019-11-17 21:30:00
22433,2019-11-17 21:45:00
21747,2019-11-17 22:0:00
21247,2019-11-17 22:15:00
21585,2019-11-17 22:30:00
21906,2019-11-17 22:45:00
21609,2019-11-17 23:0:00
21676,2019-11-17 23:15:00
21796,2019-11-17 23:30:00
21911,2019-11-17 23:45:00
